target,source,Coste,player
Brighton,Standard Lieja,Fin de cesión 30/06/2023,Steven AlzateS. Alzate
Brighton,Vitesse,Fin de cesión 30/06/2023,Kjell ScherpenK. Scherpen
Brighton,West Brom,Fin de cesión 01/01/2024,Jeremy SarmientoJ. Sarmiento
Chelsea,Brighton,"116,00 mill. €",Moisés CaicedoM. Caicedo
Liverpool,Brighton,"42,00 mill. €",Alexis Mac AllisterA. Mac Allister
Chelsea,Brighton,"23,00 mill. €",Robert SánchezR. Sánchez
KRC Genk,Brighton,"2,75 mill. €",Andi ZeqiriA. Zeqiri
Hertha Berlín,Brighton,"2,50 mill. €",Michal KarbownikM. Karbownik
Stade Reims,Brighton,"1,90 mill. €",Reda KhadraR. Khadra
Hull City,Brighton,"1,35 mill. €",Aaron ConnollyA. Connolly
VfB Stuttgart,Brighton,Coste de cesión: 700 mil €,Deniz UndavD. Undav
Bristol City,Brighton,Libre,Haydon RobertsH. Roberts
QPR,Brighton,?,Taylor RichardsT. Richards
Coventry City,Brighton,Cesión,Yasin AyariY. Ayari
Port Vale,Brighton,Cesión,Jensen WeirJ. Weir
Rangers FC,Brighton,Cesión,Abdallah SimaA. Sima
Blackburn,Brighton,Cesión,Andrew MoranA. Moran
Blackburn,Brighton,Cesión,Yasin AyariY. Ayari
Swansea City,Brighton,Cesión,Carl RushworthC. Rushworth
VfB Stuttgart,Brighton,Cesión,Mahmoud DahoudM. Dahoud
Crewe Alexandra,Brighton,Cesión,Ed TurnsEd Turns
Northampton,Brighton,Cesión,Marc LeonardM. Leonard
Sturm Graz,Brighton,Cesión,Kjell ScherpenK. Scherpen
Leyton Orient,Brighton,Cesión,Ed TurnsEd Turns
Ipswich,Brighton,Cesión,Jeremy SarmientoJ. Sarmiento
Blackpool,Brighton,Cesión,Jensen WeirJ. Weir
Standard Lieja,Brighton,Cesión,Steven AlzateS. Alzate
Vitesse,Brighton,Cesión,Adrian MaziluA. Mazilu
West Brom,Brighton,Cesión,Jeremy SarmientoJ. Sarmiento
Burnley,FC Basilea,"18,60 mill. €",Zeki AmdouniZ. Amdouni
Burnley,Man City U21,"17,30 mill. €",James TraffordJ. Trafford
Burnley,Aston Villa U21,"16,45 mill. €",Aaron RamseyA. Ramsey
Burnley,Bor. M'gladbach,"15,00 mill. €",Jordan BeyerJ. Beyer
Burnley,Sheff Utd,"13,90 mill. €",Sander BergeS. Berge
Burnley,Troyes,"12,00 mill. €",Wilson OdobertW. Odobert
Burnley,West Brom,"7,80 mill. €",Dara O'SheaD. O'Shea
Burnley,Swansea City,"4,00 mill. €",Michael ObafemiM. Obafemi
Burnley,RSC Anderlecht,"3,00 mill. €",Hannes DelcroixH. Delcroix
Burnley,RCD Espanyol B,"3,00 mill. €",Luca KoleoshoL. Koleosho
Burnley,Besiktas,Libre,Nathan RedmondN. Redmond
Burnley,Bristol City,Libre,Han-Noah MassengoH. Massengo
Burnley,Leyton Orient,Libre,Lawrence VigourouxL. Vigouroux
Burnley,Montpellier,Cesión,Maxime EstèveM. Estève
Burnley,Chelsea,Cesión,David Datro FofanaD. Fofana
Burnley,Hoffenheim,Cesión,Jacob Bruun LarsenJ. Bruun Larsen
Burnley,KRC Genk,Cesión,Mike TrésorM. Trésor
Burnley,Stade Rennes,Cesión,Lorenz AssignonL. Assignon
Burnley,Millwall,Fin de cesión 31/05/2024,Michael ObafemiM. Obafemi
Burnley,Stoke City,Fin de cesión 31/05/2024,Luke McNallyL. McNally
Burnley,Manchester Utd.,Fin de cesión 30/06/2023,Wout WeghorstW. Weghorst
Burnley,Hull City,Fin de cesión 31/05/2024,Anass ZarouryA. Zaroury
Burnley,Dundee FC,Fin de cesión 31/05/2024,Dara CostelloeD. Costelloe
Burnley,Leeds,Fin de cesión 31/05/2024,Connor RobertsC. Roberts
Burnley,Hull City,Fin de cesión 14/01/2024,Scott TwineS. Twine
Burnley,St. Johnstone,Fin de cesión 31/12/2023,Dara CostelloeD. Costelloe
Burnley,KV Mechelen,Fin de cesión 30/06/2023,Enock AgyeiE. Agyei
Burnley,Bristol City,Fin de cesión 31/05/2024,Scott TwineS. Twine
Coventry City,Burnley,"2,30 mill. €",Bobby ThomasB. Thomas
Hoffenheim,Burnley,"Coste de cesión: 1,50 mill. €",Wout WeghorstW. Weghorst
Portsmouth FC,Burnley,Libre,Will NorrisW. Norris
Norwich,Burnley,Libre,Ashley BarnesA. Barnes
Ternana,Burnley,?,Denis FranchiD. Franchi
Stoke City,Burnley,Cesión,Luke McNallyL. McNally
Hull City,Burnley,Cesión,Anass ZarouryA. Zaroury
Leeds,Burnley,Cesión,Connor RobertsC. Roberts
Kasimpasa,Burnley,Cesión,Samuel BastienS. Bastien
Hull City,Burnley,Cesión,Scott TwineS. Twine
St. Johnstone,Burnley,Cesión,Dara CostelloeD. Costelloe
FC Schalke 04,Burnley,Cesión,Darko ChurlinovD. Churlinov
PSV U21,Burnley,Cesión,CJ Egan-RileyC. Egan-Riley
Aarhus GF,Burnley,Cesión,Bailey Peacock-FarrellB. Peacock-Farrell
Bristol City,Burnley,Cesión,Scott TwineS. Twine
Burnley U21,Burnley,-,Enock AgyeiE. Agyei
Sin equipo,Burnley,-,Matthew LowtonM. Lowton
Millwall,Burnley,Cesión,Michael ObafemiM. Obafemi
Dundee FC,Burnley,Cesión,Dara CostelloeD. Costelloe
Chelsea,Burnley,Fin de cesión 31/05/2024,David Datro FofanaD. Fofana
Bor. M'gladbach,Burnley,Fin de cesión 30/06/2023,Jordan BeyerJ. Beyer
Chelsea,Brighton,"116,00 mill. €",Moisés CaicedoM. Caicedo
Chelsea,Southampton,"62,10 mill. €",Roméo LaviaR. Lavia
Chelsea,RB Leipzig,"60,00 mill. €",Christopher NkunkuC. Nkunku
Chelsea,Manchester City,"47,00 mill. €",Cole PalmerC. Palmer
Chelsea,Mónaco,"45,00 mill. €",Axel DisasiA. Disasi
Chelsea,Villarreal CF,"37,00 mill. €",Nicolas JacksonN. Jackson
Chelsea,Stade Rennes,"27,00 mill. €",Lesley UgochukwuL. Ugochukwu
Chelsea,Brighton,"23,00 mill. €",Robert SánchezR. Sánchez
Chelsea,New England,"16,00 mill. €",Djordje PetrovicD. Petrovic
Chelsea,Santos,"16,00 mill. €",Deivid WashingtonDeivid Washington
Chelsea,Santos,"15,00 mill. €",ÂngeloÂngelo
Chelsea,Benfica B,Libre,Diego MoreiraD. Moreira
Chelsea,Chelsea U21,-,Ian MaatsenI. Maatsen
Chelsea,Chelsea U21,-,Lucas BergströmL. Bergström
Chelsea,Chelsea U21,-,Lewis HallL. Hall
Chelsea,Chelsea U21,-,Omari HutchinsonO. Hutchinson
Chelsea,Chelsea U21,-,Alfie GilchristA. Gilchrist
Chelsea,Mónaco,Fin de cesión 30/06/2023,Malang SarrM. Sarr
Chelsea,Inter,Fin de cesión 30/06/2023,Romelu LukakuR. Lukaku
Chelsea,Nottm Forest,Fin de cesión 03/01/2024,Andrey SantosA. Santos
Chelsea,Vasco da Gama,Fin de cesión 30/06/2023,Andrey SantosA. Santos
Chelsea,Lyon,Fin de cesión 30/06/2023,Malo GustoM. Gusto
Chelsea,Burnley,Fin de cesión 31/05/2024,David Datro FofanaD. Fofana
Chelsea,Unión Berlín,Fin de cesión 11/01/2024,David Datro FofanaD. Fofana
Chelsea,Spezia,Fin de cesión 30/06/2023,Ethan AmpaduE. Ampadu
Chelsea,Leicester City,Fin de cesión 19/01/2024,Cesare CasadeiC. Casadei
Chelsea,Fulham,Fin de cesión 31/05/2024,Armando BrojaA. Broja
Chelsea,B. Leverkusen,Fin de cesión 30/06/2023,Callum Hudson-OdoiC. Hudson-Odoi
Chelsea,Ipswich,Fin de cesión 31/05/2024,Omari HutchinsonO. Hutchinson
Chelsea,AC Milan,Fin de cesión 30/06/2023,Tiemoué BakayokoT. Bakayoko
Chelsea,Lyon,Fin de cesión 22/01/2024,Diego MoreiraD. Moreira
Arsenal,Chelsea,"75,00 mill. €",Kai HavertzK. Havertz
Manchester Utd.,Chelsea,"64,20 mill. €",Mason MountM. Mount
Manchester City,Chelsea,"29,10 mill. €",Mateo KovacicM. Kovacic
Al-Hilal,Chelsea,"23,00 mill. €",Kalidou KoulibalyK. Koulibaly
