,target,source,Coste,player
12,Arsenal,Luton,Fin de préstamo 31/05/2024,Albert Sambi LokongaA. Lokonga
13,Sin equipo,Luton,-,Luke FreemanL. Freeman
14,Sin equipo,Luton,-,Glen ReaGlen Rea
15,Retirado,Luton,-,Henri LansburyH. Lansbury
16,Sin equipo,Luton,-,Matt MaceyM. Macey
17,Dundee United,Luton,Préstamo,Jack WaltonJ. Walton
18,Nottm Forest,Luton,Fin de préstamo 30/06/2023,Ethan HorvathE. Horvath
19,Manchester City,Luton,Fin de préstamo 31/05/2024,Issa KaboréI. Kaboré
0,Manchester City,RB Leipzig,"90,00 mill. €",Josko GvardiolJ. Gvardiol
1,Manchester City,Wolverhampton,"62,00 mill. €",Matheus NunesM. Nunes
2,Manchester City,Rennes,"60,00 mill. €",Jérémy DokuJ. Doku
3,Manchester City,Chelsea,"29,10 mill. €",Mateo KovacicM. Kovacic
4,Manchester City,Man City U21,-,James McAteeJ. McAtee
5,Manchester City,Man City U21,-,Tommy DoyleT. Doyle
6,Manchester City,Charlton,Fin de préstamo 31/05/2024,Slobodan TedicS. Tedic
7,Manchester City,Sheff Utd,Fin de préstamo 31/05/2024,James McAteeJ. McAtee
8,Manchester City,Girona FC,Fin de préstamo 30/06/2023,Yangel HerreraY. Herrera
9,Manchester City,Wolverhampton,Fin de préstamo 31/05/2024,Tommy DoyleT. Doyle
10,Manchester City,Southampton,Fin de préstamo 31/05/2024,Taylor Harwood-BellisT. Harwood-Bellis
11,Manchester City,Luton,Fin de préstamo 31/05/2024,Issa KaboréI. Kaboré
12,Manchester City,Bayern Múnich,Fin de préstamo 30/06/2023,João CanceloJ. Cancelo
13,Manchester City,Talleres,Fin de préstamo 30/06/2023,Nahuel BustosN. Bustos
14,Manchester City,Marsella,Fin de préstamo 30/06/2023,Issa KaboréI. Kaboré
0,Chelsea,Manchester City,"47,00 mill. €",Cole PalmerC. Palmer
1,Al-Ahli,Manchester City,"35,00 mill. €",Riyad MahrezR. Mahrez
2,Al-Nassr,Manchester City,"27,50 mill. €",Aymeric LaporteA. Laporte
3,Girona FC,Manchester City,"5,00 mill. €",Yangel HerreraY. Herrera
4,Talleres,Manchester City,Libre,Nahuel BustosN. Bustos
5,FC Lorient,Manchester City,Libre,Benjamin MendyB. Mendy
6,FC Barcelona,Manchester City,Libre,Ilkay GündoganI. Gündogan
7,Wolverhampton,Manchester City,Préstamo,Tommy DoyleT. Doyle
8,Stade Reims,Manchester City,Préstamo,Josh Wilson-EsbrandJ. Wilson-Esbrand
9,Charlton,Manchester City,Préstamo,Slobodan TedicS. Tedic
10,UD Las Palmas,Manchester City,Préstamo,Máximo PerroneM. Perrone
11,FC Barcelona,Manchester City,Préstamo,João CanceloJ. Cancelo
12,Southampton,Manchester City,Préstamo,Taylor Harwood-BellisT. Harwood-Bellis
13,Sheff Utd,Manchester City,Préstamo,James McAteeJ. McAtee
14,Luton,Manchester City,Préstamo,Issa KaboréI. Kaboré
0,Manchester Utd.,Atalanta,"75,00 mill. €",Rasmus HøjlundR. Højlund
1,Manchester Utd.,Chelsea,"64,20 mill. €",Mason MountM. Mount
2,Manchester Utd.,Inter,"52,50 mill. €",André OnanaA. Onana
3,Manchester Utd.,Fiorentina,"Coste de préstamo: 10,00 mill. €",Sofyan AmrabatS. Amrabat
4,Manchester Utd.,Fenerbahce,"5,00 mill. €",Altay BayindirA. Bayindir
5,Manchester Utd.,Leicester City,Libre,Jonny EvansJ. Evans
6,Manchester Utd.,Tottenham,Préstamo,Sergio ReguilónS. Reguilón
7,Manchester Utd.,Ipswich,Fin de préstamo 31/05/2024,Brandon WilliamsB. Williams
8,Manchester Utd.,Sparta Praga,Fin de préstamo 30/06/2023,Matej KovarM. Kovar
9,Manchester Utd.,Marsella,Fin de préstamo 30/06/2023,Eric BaillyE. Bailly
10,Manchester Utd.,Sevilla FC,Fin de préstamo 30/06/2023,Alex TellesA. Telles
0,Nottm Forest,Manchester Utd.,"17,50 mill. €",Anthony ElangaA. Elanga
1,Crystal Palace,Manchester Utd.,"17,50 mill. €",Dean HendersonD. Henderson
2,Fenerbahce,Manchester Utd.,"9,74 mill. €",FredFred
3,B. Leverkusen,Manchester Utd.,"5,00 mill. €",Matej KovarM. Kovar
4,Al-Nassr,Manchester Utd.,"4,60 mill. €",Alex TellesA. Telles
5,FC Utrecht,Manchester Utd.,"1,00 mill. €",Zidane IqbalZ. Iqbal
6,Luton,Manchester Utd.,?,Teden MengiT. Mengi
7,Granada CF,Manchester Utd.,Préstamo,Álvaro FernandezÁ. Fernandez
8,Ipswich,Manchester Utd.,Préstamo,Brandon WilliamsB. Williams
9,Getafe CF,Manchester Utd.,Préstamo,Mason GreenwoodM. Greenwood
10,Sin equipo,Manchester Utd.,-,David de GeaD. de Gea
11,Sin equipo,Manchester Utd.,-,Axel TuanzebeA. Tuanzebe
12,Sin equipo,Manchester Utd.,-,Phil JonesP. Jones
13,Bayern Múnich,Manchester Utd.,Fin de préstamo 30/06/2023,Marcel SabitzerM. Sabitzer
14,Burnley,Manchester Utd.,Fin de préstamo 30/06/2023,Wout WeghorstW. Weghorst
15,Crystal Palace,Manchester Utd.,Fin de préstamo 30/06/2023,Jack ButlandJ. Butland
0,Newcastle Utd.,AC Milan,"64,00 mill. €",Sandro TonaliS. Tonali
1,Newcastle Utd.,Leicester City,"44,00 mill. €",Harvey BarnesH. Barnes
2,Newcastle Utd.,Southampton,"37,20 mill. €",Tino LivramentoT. Livramento
3,Newcastle Utd.,Odense BK,"8,00 mill. €",Yankuba MintehY. Minteh
4,Newcastle Utd.,Chelsea,Préstamo,Lewis HallL. Hall
5,Newcastle Utd.,Southampton,Fin de préstamo 31/05/2024,Ryan FraserR. Fraser
6,Newcastle Utd.,Wigan,Fin de préstamo 31/05/2024,Kell WattsK. Watts
7,Newcastle Utd.,Sheff Wed,Fin de préstamo 31/05/2024,Jeff HendrickJ. Hendrick
8,Newcastle Utd.,Swansea City,Fin de préstamo 31/05/2024,Harrison AshbyH. Ashby
9,Newcastle Utd.,Heart of Midl.,Fin de préstamo 30/06/2023,Garang KuolG. Kuol
10,Newcastle Utd.,Watford,Fin de préstamo 31/05/2024,Jamal LewisJ. Lewis
11,Newcastle Utd.,Nottm Forest,Fin de préstamo 30/06/2023,Chris WoodC. Wood
0,Al-Ahli,Newcastle Utd.,"27,20 mill. €",Allan Saint-MaximinA. Saint-Maximin
1,Nottm Forest,Newcastle Utd.,"17,00 mill. €",Chris WoodC. Wood
2,Leeds,Newcastle Utd.,400 mil €,Karl DarlowK. Darlow
3,Sheff Wed,Newcastle Utd.,Préstamo,Jeff HendrickJ. Hendrick
4,Watford,Newcastle Utd.,Préstamo,Jamal LewisJ. Lewis
5,FC Volendam,Newcastle Utd.,Préstamo,Garang KuolG. Kuol
6,Wigan,Newcastle Utd.,Préstamo,Kell WattsK. Watts
7,Southampton,Newcastle Utd.,Préstamo,Ryan FraserR. Fraser
8,Swansea City,Newcastle Utd.,Préstamo,Harrison AshbyH. Ashby
9,Sin equipo,Newcastle Utd.,-,Ciaran ClarkC. Clark
10,Sin equipo,Newcastle Utd.,-,Matty LongstaffM. Longstaff
11,Chelsea,Newcastle Utd.,Fin de préstamo 31/05/2024,Lewis HallL. Hall
12,Feyenoord,Newcastle Utd.,Préstamo,Yankuba MintehY. Minteh
0,Nottm Forest,PSV Eindhoven,"35,00 mill. €",Ibrahim SangaréI. Sangaré
1,Nottm Forest,Manchester Utd.,"17,50 mill. €",Anthony ElangaA. Elanga
2,Nottm Forest,Newcastle Utd.,"17,00 mill. €",Chris WoodC. Wood
3,Nottm Forest,Norwich,"12,85 mill. €",Andrew OmobamideleA. Omobamidele
4,Nottm Forest,Corinthians,"12,00 mill. €",MurilloMurillo
5,Nottm Forest,Bolonia,"10,00 mill. €",Nicolás DomínguezN. Domínguez
6,Nottm Forest,Benfica,"9,00 mill. €",Odysseas VlachodimosO. Vlachodimos
7,Nottm Forest,Arsenal,"8,15 mill. €",Matt TurnerM. Turner
8,Nottm Forest,Chelsea,"3,50 mill. €",Callum Hudson-OdoiC. Hudson-Odoi
9,Nottm Forest,Arsenal,"Coste de préstamo: 1,15 mill. €",Nuno TavaresN. Tavares
10,Nottm Forest,Torino,Libre,Ola AinaOla Aina
11,Nottm Forest,AC Milan,Préstamo,Divock OrigiD. Origi
12,Nottm Forest,Sevilla FC,Préstamo,Gonzalo MontielG. Montiel
13,Nottm Forest,Chelsea,Préstamo,Andrey SantosAndrey Santos
14,Nottm Forest,Cardiff,Fin de préstamo 31/05/2024,Jonathan PanzoJ. Panzo
15,Nottm Forest,Norwich,Fin de préstamo 31/05/2024,Ui-jo HwangU. Hwang
16,Nottm Forest,FC Lucerna,Fin de préstamo 30/06/2023,Mohamed DrägerM. Dräger
17,Nottm Forest,Middlesbrough,Fin de préstamo 31/05/2024,Lewis O'BrienL. O'Brien
18,Nottm Forest,Vancouver,Fin de préstamo 31/12/2023,Richie LaryeaR. Laryea
19,Nottm Forest,Cardiff,Fin de préstamo 31/05/2024,Josh BowlerJ. Bowler
20,Nottm Forest,D.C. United,Fin de préstamo 16/07/2023,Lewis O'BrienL. O'Brien
21,Nottm Forest,FC Seoul,Fin de préstamo 30/06/2023,Ui-jo HwangU. Hwang
22,Nottm Forest,Estoril J23,Fin de préstamo 30/06/2023,Brandon AguileraB. Aguilera
23,Nottm Forest,Guingamp,Fin de préstamo 30/06/2023,Loïc Mbe SohL. Mbe Soh
24,Nottm Forest,Toronto,Fin de préstamo 30/06/2023,Richie LaryeaR. Laryea
25,Nottm Forest,Salt Lake,Fin de préstamo 30/06/2023,Braian OjedaB. Ojeda
26,Nottm Forest,Luton,Fin de préstamo 30/06/2023,Ethan HorvathE. Horvath
0,Tottenham,Nottm Forest,"55,00 mill. €",Brennan JohnsonB. Johnson
1,Nashville,Nottm Forest,"5,80 mill. €",Sam SurridgeS. Surridge
2,Salt Lake,Nottm Forest,"3,60 mill. €",Braian OjedaB. Ojeda
3,FC Basilea,Nottm Forest,420 mil €,Mohamed DrägerM. Dräger
4,Rotherham,Nottm Forest,Libre,CafúCafú
5,Stockport,Nottm Forest,Libre,Jordan SmithJ. Smith
6,QPR,Nottm Forest,Libre,Jack ColbackJ. Colback
7,QPR,Nottm Forest,?,Steve CookS. Cook
8,Almere City,Nottm Forest,Préstamo,Loïc Mbe SohL. Mbe Soh
9,Middlesbrough,Nottm Forest,Préstamo,Lewis O'BrienL. O'Brien
10,Olympiakos,Nottm Forest,Préstamo,Omar RichardsO. Richards
11,Norwich,Nottm Forest,Préstamo,Ui-jo HwangU. Hwang
12,Cardiff,Nottm Forest,Préstamo,Josh BowlerJ. Bowler
13,Vancouver,Nottm Forest,Préstamo,Richie LaryeaR. Laryea
14,Cardiff,Nottm Forest,Préstamo,Jonathan PanzoJ. Panzo
15,Bolonia,Nottm Forest,Préstamo,Remo FreulerR. Freuler
16,Olympiakos,Nottm Forest,Préstamo,Gustavo ScarpaG. Scarpa
17,Sin equipo,Nottm Forest,-,André AyewA. Ayew
18,Sin equipo,Nottm Forest,-,Adnan KanuricA. Kanuric
19,Sin equipo,Nottm Forest,-,Lyle TaylorL. Taylor
20,Sin equipo,Nottm Forest,-,Jesse LingardJ. Lingard
21,Chelsea,Nottm Forest,Fin de préstamo 31/05/2024,Andrey SantosAndrey Santos
22,PSG,Nottm Forest,Fin de préstamo 30/06/2023,Keylor NavasK. Navas
23,Newcastle Utd.,Nottm Forest,Fin de préstamo 30/06/2023,Chris WoodC. Wood
24,Atlético Madrid,Nottm Forest,Fin de préstamo 30/06/2023,Renan LodiR. Lodi
0,Sheff Utd,Aston Villa,"21,55 mill. €",Cameron ArcherC. Archer
1,Sheff Utd,Coventry City,"17,30 mill. €",Gustavo HamerG. Hamer
2,Sheff Utd,Lommel SK,"12,50 mill. €",Vini SouzaV. Souza
3,Sheff Utd,Arsenal,"5,80 mill. €",Auston TrustyA. Trusty
4,Sheff Utd,Häcken,"4,60 mill. €",Bénie TraoréB. Traoré
5,Sheff Utd,Brøndby IF,"2,70 mill. €",Anis SlimaneA. Slimane
6,Sheff Utd,Everton,Libre,Tom DaviesT. Davies
7,Sheff Utd,Manchester City,Préstamo,James McAteeJ. McAtee
8,Sheff Utd,Troyes,Préstamo,Yasser LarouciY. Larouci
9,Sheff Utd,Leicester City,Préstamo,Luke ThomasL. Thomas
0,Marsella,Sheff Utd,"17,00 mill. €",Iliman NdiayeI. Ndiaye
1,Burnley,Sheff Utd,"13,90 mill. €",Sander BergeS. Berge
2,Los Ángeles,Sheff Utd,Libre,Billy SharpB. Sharp
3,Stoke City,Sheff Utd,Libre,Enda StevensE. Stevens
4,Grimsby Town,Sheff Utd,?,Jake EastwoodJ. Eastwood
5,Retirado,Sheff Utd,-,Jack O'ConnellJ. O'Connell
6,Sin equipo,Sheff Utd,-,Kyron GordonK. Gordon
7,Leicester City,Sheff Utd,Fin de préstamo 31/05/2024,Luke ThomasL. Thomas
8,Manchester City,Sheff Utd,Fin de préstamo 31/05/2024,James McAteeJ. McAtee
0,Tottenham,Nottm Forest,"55,00 mill. €",Brennan JohnsonB. Johnson
1,Tottenham,Leicester City,"46,30 mill. €",James MaddisonJ. Maddison
2,Tottenham,Sporting Lisboa,"40,00 mill. €",Pedro PorroP. Porro
3,Tottenham,VfL Wolfsburgo,"40,00 mill. €",Micky van de VenM. van de Ven
4,Tottenham,Juventus,"30,00 mill. €",Dejan KulusevskiD. Kulusevski
5,Tottenham,FC Empoli,"20,00 mill. €",Guglielmo VicarioG. Vicario
6,Tottenham,Rosario Central,"15,00 mill. €",Alejo VélizA. Véliz
7,Tottenham,Blackburn,"2,30 mill. €",Ashley PhillipsA. Phillips
8,Tottenham,Shakhtar D.,Libre,Manor SolomonM. Solomon
9,Tottenham,Leeds,Fin de préstamo 31/05/2024,Djed SpenceD. Spence
10,Tottenham,Rennes,Fin de préstamo 30/06/2023,Joe RodonJoe Rodon
11,Tottenham,Leeds,Fin de préstamo 31/05/2024,Joe RodonJoe Rodon
12,Tottenham,Villarreal CF,Fin de préstamo 30/06/2023,Giovani Lo CelsoG. Lo Celso
13,Tottenham,Rennes,Fin de préstamo 30/06/2023,Djed SpenceD. Spence
14,Tottenham,Sevilla FC,Fin de préstamo 30/06/2023,Bryan GilBryan Gil
15,Tottenham,Atlético Madrid,Fin de préstamo 30/06/2023,Sergio ReguilónS. Reguilón
16,Tottenham,Sampdoria,Fin de préstamo 30/06/2023,Harry WinksH. Winks
17,Tottenham,Nápoles,Fin de préstamo 30/06/2023,Tanguy NdombéléT. Ndombélé
18,Tottenham,Udinese,Fin de préstamo 30/06/2023,Destiny UdogieD. Udogie
0,Bayern Múnich,Tottenham,"100,00 mill. €",Harry KaneH. Kane
1,Leicester City,Tottenham,"11,60 mill. €",Harry WinksH. Winks
2,Leeds,Tottenham,"Coste de préstamo: 1,10 mill. €",Djed SpenceD. Spence
3,São Paulo,Tottenham,Libre,Lucas MouraLucas Moura
4,Manchester Utd.,Tottenham,Préstamo,Sergio ReguilónS. Reguilón
5,FC Augsburgo,Tottenham,Préstamo,Japhet TangangaJ. Tanganga
6,Leeds,Tottenham,Préstamo,Joe RodonJoe Rodon
7,FC Barcelona,Tottenham,Fin de préstamo 30/06/2023,Clément LengletC. Lenglet
8,Juventus,Tottenham,Fin de préstamo 30/06/2023,Dejan KulusevskiD. Kulusevski
9,Sporting Lisboa,Tottenham,Fin de préstamo 30/06/2023,Pedro PorroP. Porro
10,Villarreal CF,Tottenham,Fin de préstamo 30/06/2023,Arnaut DanjumaA. Danjuma
0,West Ham,Ajax,"43,00 mill. €",Mohammed KudusM. Kudus
1,West Ham,Ajax,"38,00 mill. €",Edson ÁlvarezE. Álvarez
2,West Ham,Southampton,"34,80 mill. €",James Ward-ProwseJ. Ward-Prowse
3,West Ham,VfB Stuttgart,"20,00 mill. €",Konstantinos MavropanosK. Mavropanos
4,West Ham,A. Klagenfurt,"1,76 mill. €",Andy IrvingA. Irving
5,West Ham,West Ham U21,-,Divin MubamaD. Mubama
6,West Ham,Besiktas,Fin de préstamo 30/06/2023,Arthur MasuakuA. Masuaku
7,West Ham,Torino,Fin de préstamo 30/06/2023,Nikola VlasicN. Vlasic
8,West Ham,Southampton,Fin de préstamo 31/05/2024,Flynn DownesF. Downes
0,Arsenal,West Ham,"116,60 mill. €",Declan RiceD. Rice
1,Atalanta,West Ham,"25,00 mill. €",Gianluca ScamaccaG. Scamacca
2,Torino,West Ham,"12,80 mill. €",Nikola VlasicN. Vlasic
3,Besiktas,West Ham,"2,00 mill. €",Arthur MasuakuA. Masuaku
4,River Plate,West Ham,Libre,Manuel LanziniM. Lanzini
5,Southampton,West Ham,Préstamo,Flynn DownesF. Downes
6,A. Klagenfurt,West Ham,Préstamo,Andy IrvingA. Irving
0,Wolverhampton,Atlético Madrid,"50,00 mill. €",Matheus CunhaM. Cunha
1,Wolverhampton,Estrasburgo,"15,00 mill. €",Jean-Ricner BellegardeJ. Bellegarde
2,Wolverhampton,Girona FC,"12,00 mill. €",Santiago BuenoS. Bueno
3,Wolverhampton,FC Metz,"11,00 mill. €",Boubacar TraoréB. Traoré
4,Wolverhampton,Libertad,"6,00 mill. €",Enso GonzálezE. González
5,Wolverhampton,Northampton,Libre,Tom KingTom King
6,Wolverhampton,Atlético Madrid,Libre,Matt DohertyM. Doherty
7,Wolverhampton,Manchester City,Préstamo,Tommy DoyleT. Doyle
8,Wolverhampton,Stoke City,Fin de préstamo 31/05/2024,Ki-Jana HoeverK. Hoever
9,Wolverhampton,Charlton,Fin de préstamo 31/05/2024,Chem CampbellC. Campbell
10,Wolverhampton,Plymouth Argyle,Fin de préstamo 31/05/2024,Luke CundleL. Cundle
11,Wolverhampton,Stoke City,Fin de préstamo 31/08/2023,ChiquinhoChiquinho
12,Wolverhampton,Grasshoppers,Fin de préstamo 30/06/2023,Bendegúz BollaB. Bolla
13,Wolverhampton,AFC Rochdale,Fin de préstamo 31/05/2024,Louie MouldenL. Moulden
14,Wolverhampton,Cincinnati,Fin de préstamo 31/12/2023,Yerson MosqueraY. Mosquera
15,Wolverhampton,PSV Eindhoven,Fin de préstamo 30/06/2023,Fábio SilvaF. Silva
16,Wolverhampton,Benfica,Fin de préstamo 30/06/2023,Gonçalo GuedesG. Guedes
17,Wolverhampton,Santa Clara,Fin de préstamo 30/06/2023,Bruno JordãoB. Jordão
18,Wolverhampton,Everton,Fin de préstamo 30/06/2023,Conor CoadyC. Coady
19,Wolverhampton,Grasshoppers,Fin de préstamo 30/06/2023,Hayao KawabeH. Kawabe
0,Manchester City,Wolverhampton,"62,00 mill. €",Matheus NunesM. Nunes
1,Al-Hilal,Wolverhampton,"55,00 mill. €",Rúben NevesR. Neves
2,Brentford,Wolverhampton,"26,85 mill. €",Nathan CollinsN. Collins
3,Leicester City,Wolverhampton,"8,70 mill. €",Conor CoadyC. Coady
4,Fulham,Wolverhampton,"6,40 mill. €",Raúl JiménezR. Jiménez
5,Luton,Wolverhampton,"5,85 mill. €",Ryan GilesR. Giles
6,Standard Lieja,Wolverhampton,"1,50 mill. €",Hayao KawabeH. Kawabe
7,Millwall,Wolverhampton,"1,40 mill. €",Matija SarkicM. Sarkic
8,Fulham,Wolverhampton,Libre,Adama TraoréA. Traoré
9,SC Braga,Wolverhampton,Libre,João MoutinhoJ. Moutinho
10,AFC Rochdale,Wolverhampton,Préstamo,Louie MouldenL. Moulden
11,Servette FC,Wolverhampton,Préstamo,Bendegúz BollaB. Bolla
12,Stoke City,Wolverhampton,Préstamo,Ki-Jana HoeverK. Hoever
13,Stoke City,Wolverhampton,Préstamo,ChiquinhoChiquinho
14,Charlton,Wolverhampton,Préstamo,Chem CampbellC. Campbell
15,Famalicão,Wolverhampton,Préstamo,ChiquinhoChiquinho
16,Benfica,Wolverhampton,Préstamo,Gonçalo GuedesG. Guedes
17,Plymouth Argyle,Wolverhampton,Préstamo,Luke CundleL. Cundle
18,Sin equipo,Wolverhampton,-,Diego CostaDiego Costa
19,Manchester City,Wolverhampton,Fin de préstamo 31/05/2024,Tommy DoyleT. Doyle
20,Atlético Madrid,Wolverhampton,Fin de préstamo 30/06/2023,Matheus CunhaM. Cunha
21,FC Metz,Wolverhampton,Fin de préstamo 30/06/2023,Boubacar TraoréB. Traoré
0,Bayern Múnich,Tottenham,"100,00 mill. €",Harry KaneH. Kane
1,Bayern Múnich,Nápoles,"50,00 mill. €",Min-jae KimM. Kim
2,Bayern Múnich,M. Tel Aviv,"5,00 mill. €",Daniel PeretzD. Peretz
3,Bayern Múnich,RB Leipzig,Libre,Konrad LaimerK. Laimer
4,Bayern Múnich,Bor. Dortmund,Libre,Raphaël GuerreiroR. Guerreiro
5,Bayern Múnich,FC Bayern U19,-,Tarek BuchmannT. Buchmann
6,Bayern Múnich,FC Bayern II,-,Tom HülsmannT. Hülsmann
7,Bayern Múnich,Rangers FC,Fin de préstamo 30/06/2023,Malik TillmanM. Tillman
8,Bayern Múnich,Vitesse,Fin de préstamo 30/06/2023,Gabriel VidovicG. Vidovic
9,Bayern Múnich,Hannover 96,Fin de préstamo 30/06/2023,Bright Arrey-MbiB. Arrey-Mbi
10,Bayern Múnich,Manchester Utd.,Fin de préstamo 30/06/2023,Marcel SabitzerM. Sabitzer
11,Bayern Múnich,Mónaco,Fin de préstamo 30/06/2023,Alexander NübelA. Nübel
0,PSG,Bayern Múnich,"45,00 mill. €",Lucas HernándezL. Hernández
1,Liverpool,Bayern Múnich,"40,00 mill. €",Ryan GravenberchR. Gravenberch
2,Al-Nassr,Bayern Múnich,"30,00 mill. €",Sadio ManéS. Mané
3,Inter,Bayern Múnich,"30,00 mill. €",Benjamin PavardB. Pavard
4,Bor. Dortmund,Bayern Múnich,"19,00 mill. €",Marcel SabitzerM. Sabitzer
5,Inter,Bayern Múnich,"6,75 mill. €",Yann SommerY. Sommer
6,PSV Eindhoven,Bayern Múnich,"Coste de préstamo: 1,00 mill. €",Malik TillmanM. Tillman
7,VfB Stuttgart,Bayern Múnich,"Coste de préstamo: 1,00 mill. €",Alexander NübelA. Nübel
8,Dinamo Zagreb,Bayern Múnich,Coste de préstamo: 500 mil €,Gabriel VidovicG. Vidovic
9,Girona FC,Bayern Múnich,Libre,Daley BlindD. Blind
10,Hannover 96,Bayern Múnich,Libre,Bright Arrey-MbiB. Arrey-Mbi
11,Pr. Münster,Bayern Múnich,Préstamo,Johannes SchenkJ. Schenk
12,SV Elversberg,Bayern Múnich,Préstamo,Paul WannerP. Wanner
13,B. Leverkusen,Bayern Múnich,Préstamo,Josip StanisicJ. Stanisic
14,Frosinone,Bayern Múnich,Préstamo,Arijon IbrahimovicA. Ibrahimovic
15,Manchester City,Bayern Múnich,Fin de préstamo 30/06/2023,João CanceloJ. Cancelo
0,Bor. Dortmund,VfL Wolfsburgo,"30,00 mill. €",Felix NmechaF. Nmecha
1,Bor. Dortmund,Bayern Múnich,"19,00 mill. €",Marcel SabitzerM. Sabitzer
2,Bor. Dortmund,Werder Bremen,"13,00 mill. €",Niclas FüllkrugN. Füllkrug
3,Bor. Dortmund,Bor. M'gladbach,Libre,Ramy BensebainiR. Bensebaini
4,Bor. Dortmund,B. Dortmund II,-,Ole PohlmannO. Pohlmann
5,Bor. Dortmund,PSV Eindhoven,Fin de préstamo 30/06/2023,Thorgan HazardT. Hazard
6,Bor. Dortmund,Eintracht,Fin de préstamo 30/06/2023,Ansgar KnauffA. Knauff
0,Real Madrid,Bor. Dortmund,"103,00 mill. €",Jude BellinghamJ. Bellingham
1,Eintracht,Bor. Dortmund,"5,00 mill. €",Ansgar KnauffA. Knauff
2,Holstein Kiel,Bor. Dortmund,Coste de préstamo: 350 mil €,Tom RotheTom Rothe
3,Bayern Múnich,Bor. Dortmund,Libre,Raphaël GuerreiroR. Guerreiro
4,Brighton,Bor. Dortmund,Libre,Mahmoud DahoudM. Dahoud
5,SC Verl,Bor. Dortmund,Libre,Luca UnbehaunL. Unbehaun
6,VfL Bochum,Bor. Dortmund,Libre,Felix PasslackF. Passlack
7,Royal Amberes,Bor. Dortmund,Préstamo,Soumaïla CoulibalyS. Coulibaly
8,Sin equipo,Bor. Dortmund,-,Anthony ModesteA. Modeste
9,Sin equipo,Bor. Dortmund,-,Nico SchulzN. Schulz
0,RB Leipzig,Lens,"38,50 mill. €",Loïs OpendaL. Openda
1,RB Leipzig,Lyon,"30,00 mill. €",Castello LukebaC. Lukeba
2,RB Leipzig,Hoffenheim,"24,00 mill. €",Christoph BaumgartnerC. Baumgartner
3,RB Leipzig,RB Salzburgo,"24,00 mill. €",Benjamin SeskoB. Sesko
4,RB Leipzig,RB Salzburgo,"20,00 mill. €",Nicolas SeiwaldN. Seiwald
5,RB Leipzig,PSG,"15,00 mill. €",El Chadaille BitshiabuE. Bitshiabu
6,RB Leipzig,Eintracht,"1,00 mill. €",Christopher LenzC. Lenz
7,RB Leipzig,SC Paderborn,Libre,Leopold ZingerleL. Zingerle
8,RB Leipzig,PSG,Préstamo,Xavi SimonsX. Simons
9,RB Leipzig,Liverpool,Préstamo,Fábio CarvalhoF. Carvalho
10,RB Leipzig,Hoffenheim,Fin de préstamo 30/06/2023,AngeliñoAngeliño
11,RB Leipzig,Vendsyssel FF,Fin de préstamo 31/12/2023,Caden ClarkC. Clark
12,RB Leipzig,Holstein Kiel,Fin de préstamo 30/06/2023,Tim SchreiberT. Schreiber
13,RB Leipzig,FC Schalke 04,Fin de préstamo 30/06/2023,Tom KraußT. Krauß
14,RB Leipzig,Sligo Rovers,Fin de préstamo 30/06/2023,Fabrice HartmannF. Hartmann
15,RB Leipzig,Arm. Bielefeld,Fin de préstamo 30/06/2023,Frederik JäkelF. Jäkel
16,RB Leipzig,FC Basilea,Fin de préstamo 30/06/2023,Hugo NovoaH. Novoa
17,RB Leipzig,Valencia CF,Fin de préstamo 30/06/2023,Ilaix MoribaI. Moriba
18,RB Leipzig,E. Braunschweig,Fin de préstamo 30/06/2023,Mehmet IbrahimiM. Ibrahimi
19,RB Leipzig,Real Sociedad,Fin de préstamo 30/06/2023,Alexander SørlothA. Sørloth
20,RB Leipzig,Génova,Fin de préstamo 30/06/2023,Josep MartínezJ. Martínez
0,Manchester City,RB Leipzig,"90,00 mill. €",Josko GvardiolJ. Gvardiol
1,Liverpool,RB Leipzig,"70,00 mill. €",Dominik SzoboszlaiD. Szoboszlai
2,Chelsea,RB Leipzig,"60,00 mill. €",Christopher NkunkuC. Nkunku
3,Villarreal CF,RB Leipzig,"10,00 mill. €",Alexander SørlothA. Sørloth
4,Mainz,RB Leipzig,"5,00 mill. €",Tom KraußT. Krauß
5,Génova,RB Leipzig,"3,50 mill. €",Josep MartínezJ. Martínez
6,Galatasaray,RB Leipzig,"Coste de préstamo: 1,50 mill. €",AngeliñoAngeliño
7,Hannover 96,RB Leipzig,700 mil €,Marcel HalstenbergM. Halstenberg
8,FV Illertissen,RB Leipzig,Libre,Oskar PreilO. Preil
9,Bayern Múnich,RB Leipzig,Libre,Konrad LaimerK. Laimer
